Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
475,Matthias Seidl,MF,at Austria,23,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
476,Nicolas Seiwald,MF,at Austria,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,+1,+0.25,,6.9,6.3,+0.7,+0.17,,Matches
477,Matz Sels,GK,be Belgium,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
478,Nélson Semedo,DF,pt Portugal,30,1993,5,100,20,19.6,1.1,0,,0,5,20,0,1.60,1,0,+1,+0.90,+0.68,3.2,0.6,+2.6,+3.55,+3.07,Matches
479,Benjamin Šeško,FW,si Slovenia,20,2003,4,358,90,91.8,4.0,4,90,1,0,,0,1.00,2,1,+1,+0.25,+3.06,3.2,5.6,-2.5,-0.67,-0.08,Matches
480,Petr Ševčík,MF,cz Czechia,29,1994,2,22,11,8.1,0.2,0,,0,2,11,1,0.50,0,1,-1,-4.09,-3.73,0.3,0.9,-0.6,-2.60,-3.09,Matches
481,Stephan El Shaarawy,FW,it Italy,31,1992,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,1,-1,-2.00,-1.71,0.0,1.0,-0.9,-1.85,-1.72,Matches
482,Lawrence Shankland,FW,sct Scotland,28,1995,3,25,8,9.3,0.3,0,,0,3,8,0,0.33,1,2,-1,-3.60,-2.13,0.2,0.9,-0.7,-2.49,-1.47,Matches
483,Mykola Shaparenko,MF,ua Ukraine,25,1998,3,220,73,81.5,2.4,3,73,0,0,,0,1.33,2,4,-2,-0.82,-0.82,2.0,2.4,-0.5,-0.18,-1.38,Matches
484,Xherdan Shaqiri,"MF,FW",ch Switzerland,32,1991,2,71,36,14.8,0.8,1,59,0,1,12,3,1.00,1,1,0,0.00,-0.88,1.2,0.2,+0.9,+1.42,+1.22,Matches
485,Luke Shaw,DF,eng England,28,1995,3,178,59,25.8,2.0,1,90,1,2,44,3,1.33,3,2,+1,+0.51,+0.33,1.0,2.6,-1.5,-0.92,-1.01,Matches
486,Levan Shengelia,"FW,MF",ge Georgia,28,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
487,Vincent Sierro,MF,ch Switzerland,28,1995,4,38,10,7.9,0.4,0,,0,4,10,1,2.00,1,0,+1,+2.37,+1.76,1.2,0.3,+1.0,+2.44,+2.26,Matches
488,Gabriel Sigua,MF,ge Georgia,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
489,António Silva,DF,pt Portugal,20,2003,2,73,37,14.3,0.8,1,65,0,1,8,3,1.50,0,2,-2,-2.47,-3.29,1.0,1.6,-0.6,-0.69,-1.84,Matches
490,Bernardo Silva,"FW,MF",pt Portugal,29,1994,4,420,105,82.4,4.7,4,105,4,0,,1,2.00,5,1,+4,+0.86,+2.86,7.5,2.8,+4.7,+1.17,+0.96,Matches
491,Unai Simón,GK,es Spain,26,1997,6,570,95,86.4,6.3,6,95,6,0,,1,3.00,14,4,+10,+1.58,+0.58,11.2,6.3,+4.9,+0.82,+0.05,Matches
492,Xavi Simons,"MF,FW",nl Netherlands,20,2003,6,454,76,84.1,5.0,5,80,1,1,56,0,1.67,9,6,+3,+0.59,+0.59,6.8,5.0,+1.9,+0.37,+0.69,Matches
